"","...1","country","region","Logged GDP per capita","Social support","Healthy life expectancy","Freedom to make life choices","Generosity","Perceptions of corruption","latitude","longitude","Year","Score"
"105",15,"Ireland","Western Europe",11.342,0.947,72.4,0.879,0.077,0.363,53.41291,-8.24389,"2021",7.085
"106",16,"Costa Rica","Latin America and Caribbean",9.88,0.891,71.4,0.934,-0.126,0.809,9.748917,-83.753428,"2015",7.226
"107",16,"Costa Rica","Latin America and Caribbean",9.88,0.891,71.4,0.934,-0.126,0.809,9.748917,-83.753428,"2016",7.087
"108",16,"Costa Rica","Latin America and Caribbean",9.88,0.891,71.4,0.934,-0.126,0.809,9.748917,-83.753428,"2017",7.078999996
"109",16,"Costa Rica","Latin America and Caribbean",9.88,0.891,71.4,0.934,-0.126,0.809,9.748917,-83.753428,"2018",7.072
"110",16,"Costa Rica","Latin America and Caribbean",9.88,0.891,71.4,0.934,-0.126,0.809,9.748917,-83.753428,"2019",7.167
"111",16,"Costa Rica","Latin America and Caribbean",9.88,0.891,71.4,0.934,-0.126,0.809,9.748917,-83.753428,"2020",7.093699932
"112",16,"Costa Rica","Latin America and Caribbean",9.88,0.891,71.4,0.934,-0.126,0.809,9.748917,-83.753428,"2021",7.069
"113",17,"United Kingdom","Western Europe",10.707,0.934,72.5,0.859,0.233,0.459,55.378051,-3.435973,"2015",6.867
"114",17,"United Kingdom","Western Europe",10.707,0.934,72.5,0.859,0.233,0.459,55.378051,-3.435973,"2016",6.725
"115",17,"United Kingdom","Western Europe",10.707,0.934,72.5,0.859,0.233,0.459,55.378051,-3.435973,"2017",6.714000225
"116",17,"United Kingdom","Western Europe",10.707,0.934,72.5,0.859,0.233,0.459,55.378051,-3.435973,"2018",7.19
"117",17,"United Kingdom","Western Europe",10.707,0.934,72.5,0.859,0.233,0.459,55.378051,-3.435973,"2019",7.054
"118",17,"United Kingdom","Western Europe",10.707,0.934,72.5,0.859,0.233,0.459,55.378051,-3.435973,"2020",7.075799942
"119",17,"United Kingdom","Western Europe",10.707,0.934,72.5,0.859,0.233,0.459,55.378051,-3.435973,"2021",7.064
"120",18,"Czech Republic","Central and Eastern Europe",10.556,0.947,70.807,0.858,-0.208,0.868,49.817492,15.472962,"2015",6.505
"121",18,"Czech Republic","Central and Eastern Europe",10.556,0.947,70.807,0.858,-0.208,0.868,49.817492,15.472962,"2016",6.596
"122",18,"Czech Republic","Central and Eastern Europe",10.556,0.947,70.807,0.858,-0.208,0.868,49.817492,15.472962,"2017",6.609000206
"123",18,"Czech Republic","Central and Eastern Europe",10.556,0.947,70.807,0.858,-0.208,0.868,49.817492,15.472962,"2018",6.711
"124",18,"Czech Republic","Central and Eastern Europe",10.556,0.947,70.807,0.858,-0.208,0.868,49.817492,15.472962,"2019",6.852
"125",18,"Czech Republic","Central and Eastern Europe",10.556,0.947,70.807,0.858,-0.208,0.868,49.817492,15.472962,"2020",6.939599991
"126",18,"Czech Republic","Central and Eastern Europe",10.556,0.947,70.807,0.858,-0.208,0.868,49.817492,15.472962,"2021",6.965
"127",19,"United States","North America and ANZ",11.023,0.92,68.2,0.837,0.098,0.698,37.09024,-95.712891,"2015",7.119
"128",19,"United States","North America and ANZ",11.023,0.92,68.2,0.837,0.098,0.698,37.09024,-95.712891,"2016",7.104
"129",19,"United States","North America and ANZ",11.023,0.92,68.2,0.837,0.098,0.698,37.09024,-95.712891,"2017",6.993000031
"130",19,"United States","North America and ANZ",11.023,0.92,68.2,0.837,0.098,0.698,37.09024,-95.712891,"2018",6.886
"131",19,"United States","North America and ANZ",11.023,0.92,68.2,0.837,0.098,0.698,37.09024,-95.712891,"2019",6.892
"132",19,"United States","North America and ANZ",11.023,0.92,68.2,0.837,0.098,0.698,37.09024,-95.712891,"2020",6.910900116
