;country;region;2020;2021;Logged GDP per capita;Social support;Healthy life expectancy;Freedom to make life choices;Generosity;Perceptions of corruption;latitude;longitude
112;Gabon;Sub-Saharan Africa;4.768700123;4.852;9.603;0.776;59.962;0.731;-0.2;0.84;-0.803689;11.609444
113;Burkina Faso;Sub-Saharan Africa;4.750599861;4.834;7.678;0.672;54.151;0.695;-0.009;0.748;12.238333;-1.561593
114;Cambodia;Southeast Asia;4.729300022;4.83;8.36;0.765;62;0.959;0.034;0.843;12.565679;104.990963
115;Mozambique;Sub-Saharan Africa;4.724100113;4.794;7.158;0.744;54.706;0.882;0.061;0.684;-18.665695;35.529562
116;Nigeria;Sub-Saharan Africa;4.676799774;4.759;8.533;0.74;50.102;0.737;0.037;0.878;9.081999;8.675277
117;Mali;Sub-Saharan Africa;4.672599792;4.723;7.744;0.724;51.969;0.697;-0.036;0.827;17.570692;-3.996166
118;Iran;Middle East and North Africa;4.672399998;4.721;9.584;0.71;66.3;0.608;0.218;0.714;32.427908;53.688046
119;Uganda;Sub-Saharan Africa;4.633399963;4.636;7.677;0.781;56.101;0.709;0.122;0.855;1.373333;32.290275
120;Liberia;Sub-Saharan Africa;4.623600006;4.625;7.288;0.72;56.498;0.735;0.05;0.85;6.428055;-9.429499
121;Kenya;Sub-Saharan Africa;4.583000183;4.607;8.361;0.688;60.704;0.779;0.287;0.825;-0.023559;37.906193
122;Tunisia;Middle East and North Africa;4.571100235;4.596;9.266;0.691;67.201;0.656;-0.201;0.87;33.886917;9.537499
123;Lebanon;Middle East and North Africa;4.56069994;4.584;9.626;0.848;67.355;0.525;-0.073;0.898;33.854721;35.862285
124;Namibia;Sub-Saharan Africa;4.557899952;4.574;9.161;0.818;56.799;0.719;-0.149;0.847;-22.95764;18.49041
125;Palestinian Territories;Middle East and North Africa;4.552800179;4.517;8.485;0.826;62.25;0.653;-0.163;0.821;31.952162;35.233154
126;Myanmar;Southeast Asia;4.43200016;4.426;8.541;0.779;59.302;0.876;0.509;0.66;NA;NA
127;Jordan;Middle East and North Africa;4.422699928;4.395;9.182;0.767;67;0.755;-0.167;0.705;30.585164;36.238414
128;Chad;Sub-Saharan Africa;4.392199993;4.355;7.364;0.619;48.478;0.579;0.041;0.807;15.454166;18.732207
129;Sri Lanka;South Asia;4.374599934;4.325;9.47;0.827;67.299;0.841;0.079;0.863;7.873054;80.771797
130;Swaziland;Sub-Saharan Africa;4.327000141;4.308;9.065;0.77;50.833;0.647;-0.185;0.708;-26.522503;31.465866
131;Comoros;Sub-Saharan Africa;4.31099987;4.289;8.031;0.626;57.349;0.548;0.082;0.781;-11.875001;43.872219
132;Egypt;Middle East and North Africa;4.308100224;4.283;9.367;0.75;61.998;0.749;-0.182;0.795;26.820553;30.802498
133;Ethiopia;Sub-Saharan Africa;4.308000088;4.275;7.694;0.764;59;0.752;0.082;0.761;9.145;40.489673
134;Mauritania;Sub-Saharan Africa;4.288599968;4.227;8.542;0.795;57.161;0.561;-0.106;0.731;21.00789;-10.940835
135;Madagascar;Sub-Saharan Africa;4.187200069;4.208;7.396;0.686;59.305;0.552;-0.005;0.803;-18.766947;46.869107
136;Togo;Sub-Saharan Africa;4.186200142;4.107;7.362;0.569;54.914;0.619;0.032;0.772;8.619543;0.824782
137;Zambia;Sub-Saharan Africa;4.165599823;4.073;8.145;0.708;55.809;0.782;0.061;0.823;-13.133897;27.849332
138;Sierra Leone;Sub-Saharan Africa;4.151400089;3.849;7.434;0.63;51.651;0.717;0.084;0.866;8.460555;-11.779889
139;India;South Asia;3.926399946;3.819;8.755;0.603;60.633;0.893;0.089;0.774;20.593684;78.96288
140;Burundi;Sub-Saharan Africa;3.775300026;3.775;6.635;0.49;53.4;0.626;-0.024;0.607;-3.373056;29.918886
141;Yemen;Middle East and North Africa;3.759399891;3.658;7.578;0.832;57.122;0.602;-0.147;0.8;15.552727;48.516388
142;Tanzania;Sub-Saharan Africa;3.720799923;3.623;7.876;0.702;57.999;0.833;0.183;0.577;-6.369028;34.888822
143;Haiti;Latin America and Caribbean;3.652800083;3.615;7.477;0.54;55.7;0.593;0.422;0.721;18.971187;-72.285215
144;Malawi;Sub-Saharan Africa;3.573299885;3.6;6.958;0.537;57.948;0.78;0.038;0.729;-13.254308;34.301525
145;Lesotho;Sub-Saharan Africa;3.538000107;3.512;7.926;0.787;48.7;0.715;-0.131;0.915;-29.609988;28.233608
146;Botswana;Sub-Saharan Africa;3.527400017;3.467;9.782;0.784;59.269;0.824;-0.246;0.801;-22.328474;24.684866
147;Rwanda;Sub-Saharan Africa;3.478899956;3.415;7.676;0.552;61.4;0.897;0.061;0.167;-1.940278;29.873888
148;Zimbabwe;Sub-Saharan Africa;3.476200104;3.145;7.943;0.75;56.201;0.677;-0.047;0.821;-19.015438;29.154857
149;Afghanistan;South Asia;3.475899935;2.523;7.695;0.463;52.493;0.382;-0.102;0.924;33.93911;67.709953
;;;3.312299967;;;;;;;;;
;;;3.299200058;;;;;;;;;
;;;2.816600084;;;;;;;;;
;;;2.566900015;;;;;;;;;
